9981,3068,13701.15453,8/31/2014,none
9982,9182,23441.94473,4/11/2014,personal cjeck
9983,7496,5725.496476,12/10/2014,credit card
9984,251,20882.03318,11/6/2014,credit card
9985,406,75510.90779,4/16/2014,credit card
9986,4645,28100.5719,2/13/2014,none
9987,5090,91322.04029,12/16/2014,debit card
9988,6745,35848.97907,3/22/2014,personal cjeck
9989,5453,5925.507687,9/28/2014,debit card
9990,4362,3366.244419,10/14/2014,bitcoin
9991,8920,34924.38787,6/13/2014,bank transfer
9992,2683,5561.074611,5/22/2014,lbc
9993,1507,37067.10043,4/7/2014,bank transfer
9994,511,15845.8168,1/12/2014,cash
9995,2048,9827.899732,7/11/2014,bank transfer
9996,7871,31273.4222,7/5/2014,bank transfer
9997,1315,21816.69671,1/10/2014,lbc
9998,3015,922.4710315,4/2/2014,manager's check
9999,873,3361.27283,11/19/2014,credit card
10000,4492,707.6680479,8/23/2014,lbc
